CustomerID,Air Handler,All ITAM,All Integration,All LifeCycle Services,All SHI Professional Services,All Third Party Services,Application Virtualization,Archiving,Backup & Recovery,Cloud Access Security Broker (CASB),Collaboration,Connectivity,Converged Infrastructure,Data Loss Prevention,Desktop Virtualization,Desktops,Email & Instant Messaging,Encryption,End Point Protection,Enterprise File Sharing,Enterprise Mobility Management,Event Management,Firewall,Hybrid Cloud,Identity & Access Management,Intrusion Prevention System,Laptops,Load Balancing,Management & Monitoring,Mobile Application Management (MAM),Mobile Device Management (MDM),Monitors and Displays,Multi-Factor Authentication,Network Switches,Peripherals,Power Distribution Unit,Printing & Imaging,Private Cloud,Public Cloud,Replication,Routers,Server Virtualization,Servers,Smart Phones,Storage,Tablets,Telephony/Conferencing,Thin Clients,UNKNOWN,Uninteruptible Power Supply,User Workspace,Web & Email Gateways,Wireless Access Points,eDiscovery,churn
225330,0,0,0,0,0,31,0,0,29,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,104,0,0,0,False
198202,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,6,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,6,0,0,0,0,9,0,0,3,0,0,0,0,0,7,0,0,0,True
199611,0,0,14,0,0,0,0,0,4,0,0,3,0,0,1,16,0,0,6,0,0,0,0,0,0,0,11,0,2,0,0,17,0,3,144,3,98,0,0,0,3,0,1,0,0,0,13,2,0,0,7,0,0,0,False
274888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
162861,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,True
179449,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,20,2,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,True
53426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6378,0,1,3,0,0,3,2,0,19,0,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,1,0,2,8,0,1,0,0,0,0,0,17,0,2,0,0,0,0,0,20,0,0,0,True
168384,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,False
178816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
164236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
139778,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,True
1083,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,4,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,23,2,0,0,True
194385,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,True
243654,0,0,0,0,0,0,0,0,7,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,7,0,0,39,0,0,0,0,0,1,4,4,0,0,0,7,1,0,0,4,0,0,0,False
6447,0,0,325,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,26,6,161,1,0,0,0,0,0,0,7,0,0,True
238400,2,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,5,14,4,0,0,14,0,18,21,6,0,0,0,0,3,0,5,0,2,0,2,0,0,0,6,0,0,0,False
218803,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
274506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,False
224740,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,True
220434,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
1859,0,0,0,0,0,24,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
290167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
263898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
205305,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,True
135643,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,5,0,2,21,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,True
206718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
281933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
222149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,True
